id,name,status,candidates,best_score,best_source
03fdc7fc-8467-46cf-a763-6e088fde3e14,Dembel City Center Ramp Outlets,failed,0,,
03fee98a-a4f1-406e-ac0b-2db9aa5a2915,Mizan Teferi Agro-Forestry Training Projects,failed,0,,
04bb43b1-4136-46a9-923e-e6eb3baaa15d,Debre Libanos Historic Monastery Grounds,review,6,0.576,wikimedia
04c8c45f-4738-457f-bf20-218105ff3170,Kambaata Highland Agriculture Terraces,failed,0,,
04ea15b4-829e-4e66-9db0-208eb90ce212,Chencha Dorze Public Bamboo Trail,failed,0,,
042b6c47-eb1e-4060-b3ae-61f66693e65e,Debre Libanos Monastery (Shewa),success,21,0.929,openstreetmap
051f97af-5ce3-4bb0-853a-7c6ae6c5903b,Jan Meda Public Park,failed,10,,
0561e3f5-fc79-4bc0-a204-848d49c202f8,Senkele Hartebeest Sanctuary Conservation Base,failed,2,,
055d7202-aec8-4194-afdf-f775c86e4cd5,Harari Rural Farming Outskirts,failed,6,,
0562a30c-63b6-4c1a-9d52-8cc443b9d1f1,Kuriftu Resort & Spa Lakefront Luxury,review,4,0.52,wikimedia
