id,name,status,candidates,best_score,best_source
073a802a-e42d-4440-89ba-36dffc6bc0f1,Sodere Resort Convention Center,failed,0,,
0719dd1e-6986-49b7-b092-400e2548dfc5,Inter Luxury Hotel Conference Suites,failed,3,,
07384a8f-5e47-43e5-af76-0ed738a4f7f6,Kenenisa Hotel & High-Altitude Sports Complex,review,6,0.6,wikimedia
07732b82-a311-40cc-b641-f0118bb25bce,Raya Azebo Farming Communities,review,4,0.6,wikimedia
079c543b-0632-403a-a752-7f7b63cd0037,Awi Agew Honey Wine Houses,failed,0,,
07e3c3e0-9588-41e5-a2b6-5865142da6e2,Debre Marqos Cathedral,failed,4,,
07e446b5-5b4a-4f84-bf73-d43ac8c07f2a,Yabello Desert Off-Road Trek,failed,0,,
08169283-0ecd-4fee-be90-3e80c16fb6f2,Senkele Swaynes Hartebeest Sanctuary,failed,3,,
081c2f68-7301-4e19-abf1-472b6b05f4b5,Woldiya Public Town Hillside,failed,0,,
084c39db-ea06-4008-9c00-26f7361f4330,Wolayta Sodo Highland Hamlets,failed,0,,
