id,name,status,score,display_name,formatted_address,city,region,lat,lng,place_id,types,error,generated_update
0719dd1e-6986-49b7-b092-400e2548dfc5,Inter Luxury Hotel Conference Suites,candidate,0.54,Inter Luxury Hotel,"Kazanchis area, Guinea Conakry, Tito St, Addis Ababa",Kirkos,Addis Ababa,9.015415899999999,38.7697827,ChIJ62p5c5iFSxYRxnS-h4YUo90,hotel|lodging|point_of_interest|establishment,,False
07384a8f-5e47-43e5-af76-0ed738a4f7f6,Kenenisa Hotel & High-Altitude Sports Complex,candidate,0.36,Kenenisa Everett Hotel | ቀነኒሳ ኤቬሬት ሆቴል,"XQWQ+5C, Cameroon St, Addis Ababa",Bole,Addis Ababa,8.995239100000001,38.7885985,ChIJyexpsAKFSxYRuQ0f_AdqmjM,hotel|lodging|point_of_interest|establishment,,False
079c543b-0632-403a-a752-7f7b63cd0037,Awi Agew Honey Wine Houses,candidate,0.18,Qween honey,"XQMF+VHH, Addis Ababa",Bole,Addis Ababa,8.9847178,38.7741574,ChIJ4XDbdgCFSxYRnkyj6TwD67M,farm|point_of_interest|service|establishment,,False
07e3c3e0-9588-41e5-a2b6-5865142da6e2,Debre Marqos Cathedral,candidate,0.3,Debre libanos Orthodox Church,"PR6W+RX8, Bolo",Bolo,Oromia,9.712026,38.8474393,ChIJB7KvbrNHSRYRQh6_20TWDP0,tourist_attraction|place_of_worship|association_or_organization|point_of_interest|establishment,,False
098a3ef4-e0f9-4680-a0a3-531cd2363b7c,Sor River Canopy (Rainforest Avifauna),candidate,0.0,Suba Menagesha park,Baburoto,Baburoto,Oromia,8.9781523,38.5585415,ChIJJ4k33qd-TBYRWy9x7zQB5qo,national_park|park|point_of_interest|establishment,,False
09cf80ad-8f11-4213-860c-c391cac7c1e4,Guji Gold & Pastoralist Villages,candidate,0.225,Tulu Kapi Gold Mine,"4th Floor, Tirtira Building, Cape Verde Street, Bole Sub City, Woreda 03, አዲስ አበባ",ቦሌ ክፍለ ከተማ,አዲስ አበባ,8.9978871,38.7794897,ChIJf7qd3JaFSxYRtXIChBM0JVg,point_of_interest|establishment,,False
0a20e07d-73dd-4284-ae5b-b631cc2cc559,Halala Kella Lodge Retreat & Spa,candidate,0.54,Halala Kella Eco Lodge,WC4C+CXP,Dawro,"Southern Nations, Nationalities and Peoples",6.9060985,37.4224631,ChIJLVUWIvzbsRcR_K4n88uA4pI,hotel|lodging|point_of_interest|establishment,,False
0a56edc3-e173-4766-863d-d602923659eb,Abebe Bikila Stadium Accessible Seating Gate,candidate,0.45,Abebe Bikila Stadium,"2PVF+7M6, Addis Ababa 1000",Addis Ketema,Addis Ababa,9.0430245,38.724053999999995,ChIJCzibfqaISxYRXkkCvkGUW4w,stadium|sports_complex|sports_activity_location|event_venue|point_of_interest|establishment,,False
0a85ecd4-5c50-4860-b012-f6780d7ed2d3,Omo National Park (Big Game Safari),candidate,0.36,Omo National Park,Omo National Park,,"Southern Nations, Nationalities and Peoples",5.8310333,35.8279959,ChIJBZ2PzN5vphcRmI4vuHhp9ZQ,premise|street_address,,False
0b323a29-7996-4f3d-b524-51210f902bdd,Youth & Sports Academy Complex,candidate,0.6,FEEDEL YOUTH FOOTBALL ACADEMY,"22 opposite Gullagol tower 11 meda woreda 8, አዲስ አበባ 1000",አዲስ አበባ,አዲስ አበባ,9.0185832,38.7900373,ChIJV0vmRzObSxYRpbaiQCkw-9c,sports_complex|sports_activity_location|point_of_interest|establishment,,True
